Brand,Car Model,City,Member,How Long Ago,Price (TK),Mileage Drove (KM)
Toyota,Toyota Premio F Grade 2012,Dhaka,No,Not given,2395000,59000
Toyota,Toyota Fielder XG edition 2010,Dhaka,No,Not given,1460000,72331
Toyota,Toyota Premio G 2004,Dhaka,No,Not given,1345000,135000
Toyota,Toyota Corolla 80000 1998,Dhaka,No,Not given,680000,80000
Toyota,Toyota Aqua G Leather package 2014,Dhaka,No,Not given,1350000,115000
Toyota,Toyota Allion Push Start 2010,Dhaka,No,Not given,2020000,189000
Toyota,Toyota Prado .TX 1999,Dhaka,No,Not given,1250000,56000
Toyota,Toyota Kluger Sunroof 2004,Dhaka,No,Not given,1370000,135000
Toyota,Toyota Allion A15 2009,Dhaka,No,Not given,1950000,81000
Toyota,Toyota Prado TX. LIMITED 2001,Dhaka,No,Not given,1400000,98000
Toyota,Toyota Premio F Primeo 2012,Dhaka,Yes,Not given,2220000,85100
Toyota,Toyota Noah Hybrid 2014,Dhaka,No,Not given,2190000,95000
Mitsubishi,Mitsubishi Pajero 97 1997,Dhaka,No,Not given,780000,98000
Kia,Kia Picanto . 2005,Dhaka,No,Not given,390000,78000
Toyota,Toyota Premio F'G' Superior 2007,Dhaka,No,Not given,1895000,85000
Toyota,Toyota Fielder WXB G PUSH LEATHER 2019,Dhaka,Yes,Not given,2890000,50000
Toyota,"Toyota Allion 2007 Old Shape, A1.5",Dhaka,No,Not given,1600000,50000
Honda,Honda Vezel RS (Non Hybrid) 2017,Dhaka,Yes,Not given,2880000,38000
Toyota,Toyota Spacio 2004,Dhaka,No,Not given,1190000,129000
Toyota,Toyota Sienta 7 Seat Super Fresh 2013,Dhaka,Yes,Not given,1730000,57000
Toyota,Toyota Fielder G Push (Octane) 2007,Dhaka,Yes,Not given,1430000,73000
Toyota,Toyota Prius S Touring Package 2016,Dhaka,Yes,Not given,2140000,87000
Toyota,Toyota Axio EX-PUSH 4grd 42K 2019,Dhaka,Yes,Not given,2650000,42409
Nissan,Nissan X-Trail . 2018,Dhaka,No,Not given,2850000,54000
Toyota,Toyota Probox GL 2010,Dhaka,Yes,Not given,1090000,73000
Toyota,Toyota Premio 2008,Dhaka,Yes,Not given,1870000,78000
Hyundai,Hyundai H1 Special Edition 2012,Dhaka,No,Not given,1295000,97000
Nissan,Nissan Bluebird Sylphy 2012,Dhaka,Yes,Not given,1670000,57000
Hyundai,Hyundai Tucson Super Fresh 2016,Dhaka,Yes,Not given,3250000,28000
Toyota,Toyota Hiace DX 3.5grd WHITE 2019,Dhaka,Yes,Not given,2780000,106189
Toyota,Toyota Axio new shape 2015,Dhaka,No,Not given,2200000,75000
Honda,Honda Grace EX Package 2015,Dhaka,Yes,Not given,1790000,57600
Toyota,Toyota Esquire Gi Hybrid 2019,Dhaka,Yes,Not given,3070000,43000
Toyota,Toyota Harrier PROGRESS SUNROOF JBL 2019,Dhaka,Yes,Not given,6490000,64000
Toyota,Toyota Premio G 2008,Dhaka,No,Not given,1925000,151000
Toyota,Toyota Corolla Cross Z 2021,Dhaka,No,Not given,4495000,36000
Toyota,Toyota Corolla G 2000,Dhaka,Yes,Not given,945000,100000
Chery,Chery Tiggo 7 Pro 2023,Dhaka,No,Not given,3450000,17200
Toyota,Toyota Noah X 2013,Sylhet,No,Not given,2350000,100000
Toyota,Toyota Premio FL 2019,Dhaka,Yes,Not given,4250000,9616
Toyota,Toyota Fielder G 2012,Dhaka,No,Not given,1540000,69230
Toyota,Toyota Premio G Edison… 2008,Dhaka,Yes,Not given,2029000,82451
Toyota,Toyota Allion A15 push start 2012,Dhaka,Yes,Not given,2189000,67541
Toyota,Toyota Premio FEX package .. 2016,Dhaka,Yes,Not given,2985000,61245
Toyota,Toyota Fielder X 2003,Dhaka,No,Not given,1050000,47000
Toyota,Toyota Fielder X Limited 2011,Dhaka,Yes,Not given,1485000,76000
Toyota,Toyota Aqua EXCELLENT CONDITION 2012,Dhaka,Yes,Not given,1290000,60000
Toyota,Toyota Aqua . 2012,Dhaka,No,Not given,1195000,83384
Toyota,Toyota Corolla # S LED READY STOCK 2020,Dhaka,Yes,Not given,2970000,43000
Toyota,Toyota Land Cruiser Prado (TX) 7 Seat 1998,Dhaka,Yes,Not given,1690000,100000
Toyota,Toyota C-HR 2017,Rajshahi,No,Not given,2800000,100000
Toyota,Toyota RAV4 CR 13 2005,Dhaka,No,Not given,1485000,88000
Honda,Honda Insight EX 4.5grd PEARL 2019,Dhaka,Yes,Not given,3720000,44262
Toyota,Toyota ist CR 32.REG 2018.MODEL 2012,Dhaka,No,Not given,1490000,77000
Toyota,Toyota Corsa Ex Saloon All Power 1998,Dhaka,Yes,Not given,495000,78114
Toyota,Toyota Premio G 2005,Khulna,No,Not given,1690000,110000
Toyota,Toyota ist 2004,Sylhet,No,Not given,990000,137181
Honda,Honda Insight LX 2019,Dhaka,Yes,Not given,3490000,32000
Toyota,Toyota Prius Hybrid A Package 2019,Dhaka,Yes,Not given,3100000,78000
Toyota,Toyota Prius S TOURING SELECTION 2019,Dhaka,Yes,Not given,3050000,112000
Toyota,Toyota Corolla S 2019,Dhaka,Yes,Not given,2950000,59000
Toyota,Toyota Prius S Touring 2019,Dhaka,Yes,Not given,2990000,74000
Toyota,Toyota Axio EX-PUSH START 4.5g 2019,Dhaka,Yes,Not given,2650000,49022
Toyota,Toyota Corolla Cross Z Leather 2022,Dhaka,Yes,Not given,4790000,20000
Toyota,Toyota Noah Hybrid Push start 2014,Dhaka,Yes,Not given,2270000,35000
Toyota,Toyota Corolla Cross z leather 2024,Dhaka,Yes,Not given,5550000,0
Toyota,Toyota Allion 2010,Dhaka,No,Not given,1990000,153419
Toyota,Toyota Vitz Well Decorated 2010,Dhaka,No,Not given,890000,63000
Toyota,Toyota Axio . 2013,Dhaka,No,Not given,1745000,86200
Toyota,Toyota Premio F 2020,Dhaka,Yes,Not given,3580000,69000
Toyota,Toyota Allion 2010,Dhaka,No,Not given,1850000,90000
Toyota,Toyota Allion . 2010,Dhaka,No,Not given,2000000,64414
Toyota,Toyota Premio FL 2017,Dhaka,Yes,Not given,3260000,76000
Toyota,Toyota Esquire Gi premium hybrid 2019,Dhaka,Yes,Not given,3770000,60000
Toyota,Toyota Axio 2012,Dhaka,No,Not given,1600000,95000
Toyota,Toyota Allion 2015,Dhaka,Yes,Not given,2450000,66317
Toyota,Toyota Axio fresh 2007,Dhaka,Yes,Not given,1199999,80000
Mitsubishi,Mitsubishi Pajero sports Hard Jeep 2020,Dhaka,Yes,Not given,9870000,29505
Toyota,Toyota Hilux Carryboy 2007,Dhaka,Yes,Not given,1850000,79500
Toyota,Toyota Noah 2006,Sylhet,No,Not given,1050000,330000
Mitsubishi,Mitsubishi l200 Double Cabin 2022,Dhaka,Yes,Not given,6150000,18000
