Brand,Car Model,Mileage Drove,City,Price,Member,How Long Ago
Toyota,Toyota Premio F Grade 2012,"59,000 km",Dhaka,"Tk 2,395,000",No,Not given
Toyota,Toyota Fielder XG edition 2010,"72,331 km",Dhaka,"Tk 1,460,000",No,Not given
Toyota,Toyota Premio G 2004,"135,000 km",Dhaka,"Tk 1,345,000",No,Not given
Toyota,Toyota Corolla 80000 1998,"80,000 km",Dhaka,"Tk 680,000",No,Not given
Toyota,Toyota Aqua G Leather package 2014,"115,000 km",Dhaka,"Tk 1,350,000",No,Not given
Toyota,Toyota Allion Push Start 2010,"189,000 km",Dhaka,"Tk 2,020,000",No,Not given
Toyota,Toyota Prado .TX 1999,"56,000 km",Dhaka,"Tk 1,250,000",No,Not given
Toyota,Toyota Kluger Sunroof 2004,"135,000 km",Dhaka,"Tk 1,370,000",No,Not given
Toyota,Toyota Allion A15 2009,"81,000 km",Dhaka,"Tk 1,950,000",No,Not given
Toyota,Toyota Prado TX. LIMITED 2001,"98,000 km",Dhaka,"Tk 1,400,000",No,Not given
Toyota,Toyota Premio F Primeo 2012,"85,100 km",Dhaka,"Tk 2,220,000",Yes,Not given
Toyota,Toyota Noah Hybrid 2014,"95,000 km",Dhaka,"Tk 2,190,000",No,Not given
Mitsubishi,Mitsubishi Pajero 97 1997,"98,000 km",Dhaka,"Tk 780,000",No,Not given
Kia,Kia Picanto . 2005,"78,000 km",Dhaka,"Tk 390,000",No,Not given
Toyota,Toyota Premio F'G' Superior 2007,"85,000 km",Dhaka,"Tk 1,895,000",No,Not given
Toyota,Toyota Fielder WXB G PUSH LEATHER 2019,"50,000 km",Dhaka,"Tk 2,890,000",Yes,Not given
Toyota,"Toyota Allion 2007 Old Shape, A1.5","50,000 km",Dhaka,"Tk 1,600,000",No,Not given
Honda,Honda Vezel RS (Non Hybrid) 2017,"38,000 km",Dhaka,"Tk 2,880,000",Yes,Not given
Toyota,Toyota Spacio 2004,"129,000 km",Dhaka,"Tk 1,190,000",No,Not given
Toyota,Toyota Sienta 7 Seat Super Fresh 2013,"57,000 km",Dhaka,"Tk 1,730,000",Yes,Not given
Toyota,Toyota Fielder G Push (Octane) 2007,"73,000 km",Dhaka,"Tk 1,430,000",Yes,Not given
Toyota,Toyota Prius S Touring Package 2016,"87,000 km",Dhaka,"Tk 2,140,000",Yes,Not given
Toyota,Toyota Axio EX-PUSH 4grd 42K 2019,"42,409 km",Dhaka,"Tk 2,650,000",Yes,Not given
Nissan,Nissan X-Trail . 2018,"54,000 km",Dhaka,"Tk 2,850,000",No,Not given
Toyota,Toyota Probox GL 2010,"73,000 km",Dhaka,"Tk 1,090,000",Yes,Not given
Toyota,Toyota Premio 2008,"78,000 km",Dhaka,"Tk 1,870,000",Yes,Not given
Hyundai,Hyundai H1 Special Edition 2012,"97,000 km",Dhaka,"Tk 1,295,000",No,Not given
Nissan,Nissan Bluebird Sylphy 2012,"57,000 km",Dhaka,"Tk 1,670,000",Yes,Not given
Hyundai,Hyundai Tucson Super Fresh 2016,"28,000 km",Dhaka,"Tk 3,250,000",Yes,Not given
Toyota,Toyota Hiace DX 3.5grd WHITE 2019,"106,189 km",Dhaka,"Tk 2,780,000",Yes,Not given
Toyota,Toyota Axio new shape 2015,"75,000 km",Dhaka,"Tk 2,200,000",No,Not given
Honda,Honda Grace EX Package 2015,"57,600 km",Dhaka,"Tk 1,790,000",Yes,Not given
Toyota,Toyota Esquire Gi Hybrid 2019,"43,000 km",Dhaka,"Tk 3,070,000",Yes,Not given
Toyota,Toyota Harrier PROGRESS SUNROOF JBL 2019,"64,000 km",Dhaka,"Tk 6,490,000",Yes,Not given
Toyota,Toyota Premio G 2008,"151,000 km",Dhaka,"Tk 1,925,000",No,Not given
Toyota,Toyota Corolla Cross Z 2021,"36,000 km",Dhaka,"Tk 4,495,000",No,Not given
Toyota,Toyota Corolla G 2000,"100,000 km",Dhaka,"Tk 945,000",Yes,Not given
Chery,Chery Tiggo 7 Pro 2023,"17,200 km",Dhaka,"Tk 3,450,000",No,Not given
Toyota,Toyota Noah X 2013,"100,000 km",Sylhet,"Tk 2,350,000",No,Not given
Toyota,Toyota Premio FL 2019,"9,616 km",Dhaka,"Tk 4,250,000",Yes,Not given
Toyota,Toyota Fielder G 2012,"69,230 km",Dhaka,"Tk 1,540,000",No,Not given
Toyota,Toyota Premio G Edison… 2008,"82,451 km",Dhaka,"Tk 2,029,000",Yes,Not given
Toyota,Toyota Allion A15 push start 2012,"67,541 km",Dhaka,"Tk 2,189,000",Yes,Not given
Toyota,Toyota Premio FEX package .. 2016,"61,245 km",Dhaka,"Tk 2,985,000",Yes,Not given
